web-scraper-order,web-scraper-start-url,category,category-href,merk,merk-href,gambar-src,nama,harga,lokasi
1519715976-89,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/lenovo/?&from=onesearch_category_9112,,Lenovo Legion Y520 - 15IKBN WEID Intel i5-7300HQ-4GB DDR4-GTX 1050 4GB-15.6" FHD-DOS,Rp10.130.000,Jawa Tengah
1519716004-295,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,https://id-live-01.slatic.net/p/2/acer-z476-intel-core-i3-6006u-ram-4gb-1tb-1439-dos-silver-1510901167-23837745-ee5d21ad3eb434403ec2d698b46e1731-catalog_233.jpg,Acer Z476 - Intel Core i3-6006U - RAM 4GB - 1TB - 14' - DOS - Silver,Rp5.339.000,DKI Jakarta
1519716000-267,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/dell/?&from=onesearch_category_9110,,Dell Inspiron 3467 Intel Core i3 SKYLAKE / Ram 4GB / 1TB / VGA INTEL / DVDRW / 14",Rp5.548.500,Jawa Timur
1519715980-159,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/acer/?&from=onesearch_category_9112,,Acer Aspire E5-475G 73A3 - Core i7-7500U - DDR4 8GB - 1TB - NVIDIA 940MX 2GB GDDR5 - 14 Inch,Rp10.020.000,DKI Jakarta
1519716011-404,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,,HP 14-BS 001TX (i3 VGA) Intel Core I3-6006 4GB 100GB DVDRW ATI RADEON DOS,Rp5.741.000,Jawa Timur
1519716004-327,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,,Laptop Gaming Acer E5-475G-341S Core I3 2GB 500GB NVIDIA 2GB DDR5 PROMO MURAH GAME Layar 14 Inch,Rp6.500.000,Jawa Timur
1519715980-125,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/acer/?&from=onesearch_category_9112,,Acer Aspire E5-475G-55BD KABYLAKE I I5-7200U I 8GB I 1 TB HDD I Windows 10 I NVIDIA GeForce 940MX 2 GB I 14inchi I DVDRW I Grey,Rp8.448.000,Jawa Timur
1519715960-16,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/dell/?&from=onesearch_category_9112,,"Dell Inspiron 7567 - Ci7-7700HQ - RAM 8GB - HDD 1TB - GTX1050Ti 4GB- 15,6 Inch - Hitam",Rp14.010.000,Sumatera Utara
1519716011-376,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,https://id-live-01.slatic.net/p/2/hp-14-bs011tu-black-intel-core-i3-6006u4gb500gbintel-hd6201434dos-1503387368-30240083-8357f385a6bebac5422364df4cd10e08-catalog_233.jpg,HP 14-BS011TU BLACK - [Intel Core i3-6006U/4GB/500GB/Intel HD620/14"/DOS],Rp4.898.000,DKI Jakarta
1519716011-395,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,,HP 14-BW008AU - AMD A4-9120 - RAM 4GB - 500GB - 14' - Windows 10 - Natural Silver,Rp3.799.000,DKI Jakarta
